query_length,avg_word_length,lexical_diversity,noun_ratio,verb_ratio,adjective_ratio,entity_count,idf_mean,idf_max,rare_term_ratio,embedding_norm,embedding_mean,embedding_std,query_entropy,bm25_weight,dense_weight
3,5.333,1.0,0.667,0.0,0.333,1,2.151,2.946,0.333,1.0,0.000516,0.051028,1.585,0.5,0.5
3,6.0,1.0,1.0,0.0,0.0,0,2.143,2.699,0.333,1.0,0.000925,0.051023,1.585,0.5,0.5
3,9.0,1.0,0.667,0.333,0.0,0,3.254,5.472,0.333,1.0,0.000564,0.051028,1.585,0.5,0.5
3,7.667,1.0,0.667,0.333,0.0,0,3.254,5.472,0.333,1.0,0.001116,0.051019,1.585,0.5,0.5
2,7.0,1.0,1.0,0.0,0.0,0,2.145,2.699,0.5,1.0,0.001175,0.051018,1.0,0.0,1.0
3,6.667,0.667,1.0,0.0,0.0,0,1.96,2.699,0.333,1.0,0.000507,0.051029,0.918,0.0,1.0
3,7.333,1.0,0.667,0.0,0.333,0,2.836,4.219,0.333,1.0,0.000873,0.051024,1.585,0.0,1.0
3,7.333,0.667,1.0,0.0,0.0,0,2.329,2.699,0.667,1.0,0.001015,0.051021,0.918,0.0,1.0
3,5.0,0.667,0.333,0.333,0.0,1,2.259,2.946,0.333,1.0,0.000164,0.051031,0.918,0.5,0.5
2,5.0,1.0,0.5,0.0,0.5,1,2.431,2.946,0.5,1.0,0.000788,0.051025,1.0,0.5,0.5
3,6.333,1.0,1.0,0.0,0.0,0,2.543,3.274,0.667,1.0,0.000825,0.051024,1.585,0.0,1.0
2,5.0,1.0,0.0,0.5,0.0,1,2.431,2.946,0.5,1.0,0.000903,0.051023,1.0,0.5,0.5
3,5.0,0.667,0.0,0.333,0.333,2,2.603,2.946,0.667,1.0,0.00055,0.051028,0.918,0.5,0.5
3,8.333,0.667,0.333,0.333,0.333,0,2.191,3.392,0.333,1.0,0.000276,0.05103,0.918,0.0,1.0
2,9.5,1.0,1.0,0.0,0.0,0,2.491,3.392,0.5,1.0,0.000759,0.051025,1.0,0.0,1.0
3,7.0,1.0,1.0,0.0,0.0,0,2.63,3.6,0.667,1.0,0.000492,0.051029,1.585,0.5,0.5
2,9.5,1.0,0.5,0.0,0.5,0,2.491,3.392,0.5,1.0,0.000961,0.051022,1.0,0.0,1.0
3,5.667,1.0,1.0,0.0,0.0,0,2.685,3.767,0.667,1.0,0.000949,0.051022,1.585,0.0,1.0
3,7.0,0.667,1.0,0.0,0.0,0,3.25,4.085,0.333,1.0,-0.000278,0.05103,0.918,0.0,1.0
3,7.333,1.0,1.0,0.0,0.0,0,3.562,4.085,0.667,1.0,-0.000119,0.051031,1.585,0.5,0.5
2,6.0,1.0,1.0,0.0,0.0,0,3.459,4.085,0.5,1.0,0.000146,0.051031,1.0,0.0,1.0
3,7.667,1.0,1.0,0.0,0.0,0,4.139,5.472,0.667,1.0,0.000196,0.051031,1.585,0.5,0.5
3,7.667,1.0,0.667,0.333,0.0,0,3.275,4.373,0.667,1.0,0.000281,0.05103,1.585,1.0,0.0
3,6.667,1.0,0.667,0.333,0.0,0,4.161,5.066,0.333,1.0,0.000383,0.05103,1.585,0.5,0.5
3,6.667,1.0,0.667,0.333,0.0,0,4.161,5.066,0.333,1.0,0.000295,0.05103,1.585,0.5,0.5
3,6.333,1.0,0.667,0.0,0.333,0,4.306,5.066,0.333,1.0,-0.000517,0.051028,1.585,0.5,0.5
3,6.333,1.0,0.667,0.0,0.333,0,4.441,5.472,0.333,1.0,-0.000511,0.051028,1.585,0.5,0.5
3,5.667,1.0,0.667,0.333,0.0,0,3.991,4.555,0.667,1.0,7.8e-05,0.051031,1.585,0.5,0.5
3,6.0,1.0,0.667,0.0,0.333,0,3.813,4.555,0.667,1.0,0.000207,0.051031,1.585,0.5,0.5
3,6.667,1.0,0.667,0.333,0.0,0,3.899,4.778,0.667,1.0,7.3e-05,0.051031,1.585,0.5,0.5
3,5.0,1.0,1.0,0.0,0.0,0,3.175,4.085,0.667,1.0,0.000528,0.051028,1.585,0.5,0.5
2,5.0,1.0,1.0,0.0,0.0,0,3.441,4.085,0.5,1.0,0.000254,0.05103,1.0,0.5,0.5
2,5.5,1.0,1.0,0.0,0.0,0,4.026,4.085,0.5,1.0,0.000958,0.051022,1.0,0.5,0.5
2,7.0,1.0,1.0,0.0,0.0,0,1.968,1.99,0.5,1.0,0.00049,0.051029,1.0,0.5,0.5
3,6.667,1.0,1.0,0.0,0.0,0,2.77,4.373,0.333,1.0,0.000231,0.051031,1.585,0.5,0.5
2,6.0,1.0,0.5,0.0,0.5,0,2.223,2.501,0.5,1.0,0.000411,0.051029,1.0,0.5,0.5
2,8.5,1.0,1.0,0.0,0.0,0,2.487,3.029,0.5,1.0,0.000831,0.051024,1.0,0.5,0.5
3,7.333,1.0,0.667,0.0,0.333,0,2.492,3.029,0.667,1.0,0.000545,0.051028,1.585,0.5,0.5
3,7.333,1.0,0.667,0.0,0.333,0,2.492,3.029,0.667,1.0,0.000545,0.051028,1.585,0.5,0.5
2,6.0,1.0,0.5,0.0,0.5,0,2.223,2.501,0.5,1.0,0.000411,0.051029,1.0,0.0,1.0
3,6.333,1.0,0.667,0.333,0.0,0,3.106,4.373,0.333,1.0,0.000458,0.051029,1.585,1.0,0.0
2,8.5,1.0,1.0,0.0,0.0,0,2.487,3.029,0.5,1.0,0.001005,0.051021,1.0,0.0,1.0
3,7.0,1.0,0.667,0.333,0.0,0,3.116,4.373,0.333,1.0,0.000758,0.051025,1.585,0.5,0.5
3,6.0,1.0,0.667,0.0,0.0,0,3.416,5.472,0.333,1.0,0.000272,0.05103,1.585,0.0,1.0
3,4.333,1.0,1.0,0.0,0.0,0,3.332,4.555,0.667,1.0,0.000862,0.051024,1.585,0.5,0.5
3,6.333,1.0,0.667,0.333,0.0,0,3.185,4.778,0.333,1.0,0.001002,0.051021,1.585,0.5,0.5
2,6.0,1.0,1.0,0.0,0.0,0,2.389,2.833,0.5,1.0,0.000961,0.051022,1.0,0.0,1.0
2,4.5,1.0,1.0,0.0,0.0,0,4.261,4.555,0.5,1.0,0.00104,0.05102,1.0,0.5,0.5
3,4.667,1.0,1.0,0.0,0.0,0,4.156,5.472,0.333,1.0,0.000321,0.05103,1.585,0.5,0.5
2,5.0,1.0,1.0,0.0,0.0,0,3.498,3.968,0.5,1.0,-0.000187,0.051031,1.0,0.0,1.0
1,5.0,1.0,0.0,0.0,1.0,0,2.501,2.501,0.0,1.0,0.000961,0.051022,0.0,0.5,0.5
2,4.0,1.0,0.5,0.5,0.0,0,3.491,5.066,0.5,1.0,0.000703,0.051026,1.0,0.0,1.0
2,3.5,1.0,1.0,0.0,0.0,0,4.72,5.472,0.5,1.0,0.0011,0.051019,1.0,0.5,0.5
3,7.0,1.0,0.333,0.333,0.333,0,3.383,4.373,0.333,1.0,0.000723,0.051026,1.585,0.5,0.5
2,5.0,1.0,1.0,0.0,0.0,0,2.888,3.274,0.5,1.0,0.000422,0.051029,1.0,1.0,0.0
3,7.667,1.0,0.333,0.333,0.333,0,4.633,5.066,0.667,1.0,0.000538,0.051028,1.585,0.5,0.5
3,5.0,1.0,0.667,0.0,0.333,0,2.564,3.274,0.333,1.0,-0.000298,0.05103,1.585,1.0,0.0
2,6.0,1.0,0.5,0.5,0.0,0,2.43,2.869,0.5,1.0,0.001056,0.05102,1.0,1.0,0.0
3,5.0,1.0,0.667,0.0,0.333,0,2.564,3.274,0.333,1.0,-5e-06,0.051031,1.585,0.5,0.5
2,5.0,1.0,1.0,0.0,0.0,0,2.595,3.274,0.5,1.0,0.000657,0.051027,1.0,0.0,1.0
2,5.0,1.0,0.5,0.0,0.5,0,2.209,2.501,0.5,1.0,0.0001,0.051031,1.0,0.5,0.5
3,5.333,1.0,0.667,0.333,0.0,0,2.125,2.869,0.333,1.0,0.000188,0.051031,1.585,1.0,0.0
3,8.667,1.0,0.667,0.0,0.333,0,3.182,3.862,0.667,1.0,7.4e-05,0.051031,1.585,0.5,0.5
3,8.333,1.0,0.667,0.333,0.0,0,2.836,3.526,0.667,1.0,0.000607,0.051027,1.585,0.5,0.5
1,5.0,1.0,0.0,1.0,0.0,0,1.916,1.916,0.0,1.0,0.000593,0.051028,0.0,0.5,0.5
3,7.333,1.0,0.333,0.667,0.0,0,3.872,5.472,0.667,1.0,0.000584,0.051028,1.585,0.5,0.5
2,6.5,1.0,1.0,0.0,0.0,0,2.558,3.526,0.5,1.0,0.000357,0.05103,1.0,0.0,1.0
3,5.667,1.0,1.0,0.0,0.0,0,1.954,2.797,0.333,1.0,0.000646,0.051027,1.585,0.5,0.5
3,4.667,1.0,0.333,0.0,0.333,0,2.699,3.68,0.333,1.0,0.000513,0.051028,1.585,0.5,0.5
3,4.0,1.0,0.0,0.333,0.333,0,3.554,5.066,0.667,1.0,0.000698,0.051026,1.585,0.5,0.5
2,5.0,1.0,0.5,0.0,0.5,0,2.209,2.501,0.5,1.0,0.0001,0.051031,1.0,0.5,0.5
3,6.667,1.0,1.0,0.0,0.0,0,3.812,5.066,0.667,1.0,0.00107,0.05102,1.585,0.5,0.5
