query,bm25_top_score,bm25_mean_score,bm25_score_std,bm25_score_gap,bm25_top_mean_ratio,dense_top_similarity,dense_mean_similarity,dense_similarity_std,dense_similarity_gap,dense_top_mean_ratio,overlap_ratio,rank_agreement,query_token_count,query_unique_token_count,query_avg_token_length,bm25_top_lexical_coverage,dense_top_lexical_coverage,oracle_bm25_weight
agile definition sprint,4.712874475930866,3.4789560432960167,0.7223218417185083,0.4144997581355927,1.3546806620372862,0.5812297463417053,0.27788432836532595,0.1250411839296534,0.16809529066085815,2.0916247769740384,0.1111111111111111,0.5,3,3,7.0,0.3333333333333333,1.0,0.0
shirt size described,8.700977492365451,3.0328417579662945,2.5253864569878286,4.057111551895543,2.8689190491098975,0.07316803932189941,-0.4390502333641052,0.29010488568184883,0.05917716026306152,-0.16665072413529733,0.17647058823529413,0.8148148148148148,3,3,6.0,1.0,0.6666666666666666,0.15
agile azure,6.637231951930069,3.5037754139514554,1.5439071952404655,0.5276930317907373,1.8943086150732455,0.3824045658111572,0.013361316919326783,0.17967935049826203,0.06482589244842529,28.62027509114909,0.42857142857142855,0.8703703703703703,2,2,5.0,1.0,1.0,0.0
usable definition dod,10.197912340093946,4.865793679279427,2.4805814005220417,2.380844488777047,2.0958373930898255,0.13035619258880615,-0.27503228187561035,0.18655568960308366,0.20639324188232422,-0.4739668801779521,0.5384615384615384,0.7777777777777778,3,3,6.333333333333333,1.0,1.0,0.0
concept spike,10.051236956756778,1.9401342983408523,3.2885209074490693,4.653237601164019,5.180691339435786,0.21778583526611328,-0.24285672307014466,0.31020295473932513,0.09220951795578003,-0.896766754129388,0.17647058823529413,0.8518518518518519,2,2,6.0,1.0,0.5,0.0
sprint success,4.401978568656182,0.8995951502649513,1.7076633099835694,0.1759302071211719,4.893288461325852,0.1904611587524414,0.1499250829219818,0.025933606277081092,0.004964113235473633,1.270375543841145,0.17647058823529413,0.6296296296296295,2,2,6.5,0.5,0.5,0.0
seo indian,10.394305607112207,2.33534427765042,3.707744927104771,3.8941669634171756,4.450866498180677,0.014316439628601074,-0.45816539525985717,0.23288508442438302,0.09867334365844727,-0.031247317620924284,0.17647058823529413,0.9259259259259259,2,2,4.5,1.0,1.0,0.0
team shaped,2.155155345362731,2.0696718416456776,0.06211536044932132,0.004052736754756925,1.0413029263852196,0.19895362854003906,-0.2118114113807678,0.16043129124878175,0.23726677894592285,-0.9392960806176083,0.25,0.8611111111111112,2,2,5.0,0.5,1.0,0.0
sprint agile definition,4.712874475930866,3.4789560432960167,0.7223218417185083,0.4144997581355927,1.3546806620372862,0.5708907842636108,0.27184039950370786,0.11914288816470453,0.18244343996047974,2.100095443156616,0.1111111111111111,0.5,3,3,7.0,0.3333333333333333,1.0,0.0
increment agile manifesto,6.593800350222568,4.1587825621146655,0.9386119746614926,1.9227819268296829,1.5855121665388874,0.5513714849948883,0.14324709475040437,0.15497595441478784,0.3448099195957184,3.8490936654289936,0.25,0.8333333333333334,3,3,7.666666666666667,1.0,1.0,0.0
agile adoption personality,15.510630137182456,4.705236275709839,4.289757965227784,5.681562940375329,3.2964614800013416,0.5422743260860443,-0.070844104886055,0.21912537054206427,0.47556766867637634,-7.654473536764044,0.42857142857142855,0.6666666666666667,3,3,8.0,1.0,1.0,0.0
